mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
13	11	43	43	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	267												
13	11	44	44	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	268												
13	11	41	41	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	269												
13	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	270												
13	11	42	42	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	271												
13	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	272												
13	11	43	43	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	273												
13	11	44	44	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	274												
13	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	275												
13	11	41	41	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	276												
13	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	277												
13	11	42	42	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	278												
13	11	43	43	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	279												
13	11	44	44	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	280												
13	11	44	44	1.0	3/4	3/4	Chord	4/4	2	3	1/4		1/4	1	281												
13	11	41	41	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	282												
13	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	283												
13	11	42	42	1.0	1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	284												
13	11	43	43	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	285												
13	11	44	44	1.0	3/4	3/4	Chord	4/4	3	3	1/4		1/4	1	286												
14	12	45	45	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	287	Wort	weiss,										
14	12	46	46	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	288	zu	du										
14	12	47	47	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	289	hal-	wirst's										
14	12	95/2	95/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	290												
14	12	48	48	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	291	-ten	nicht										
14	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	292												
14	12	45	45	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	293												
14	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	294												
14	12	46	46	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	295												
14	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	296												
14	12	47	47	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	297												
14	12	95/2	95/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	298												
14	12	48	48	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	299												
14	12	45	45	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	300												
14	12	46	46	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	301												
14	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	302												
14	12	47	47	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	303												
14	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	304												
14	12	45	45	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	305												
14	12	46	46	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	306												
14	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	307												
14	12	47	47	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	308												
14	12	95/2	95/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	309												
14	12	48	48	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	310												
14	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	311												
14	12	45	45	1.0	0	0	Chord	4/4	2	3	1/4		1/4	1	312												
14	12	46	46	0.5	1/4	1/4	Chord	4/4	2	3	1/8		1/8	1	313												
14	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	2	3	1/8		1/8	1	314												
14	12	47	47	0.5	1/2	1/2	Chord	4/4	2	3	1/8		1/8	1	315												
14	12	95/2	95/2	0.5	5/8	5/8	Chord	4/4	2	3	1/8		1/8	1	316												
14	12	48	48	0.5	3/4	3/4	Chord	4/4	2	3	1/8		1/8	1	317												
14	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	2	3	1/8		1/8	1	318												
14	12	45	45	1.0	0	0	Chord	4/4	3	3	1/4		1/4	1	319												
14	12	46	46	0.5	1/4	1/4	Chord	4/4	3	3	1/8		1/8	1	320												
14	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	3	3	1/8		1/8	1	321												
14	12	47	47	0.5	1/2	1/2	Chord	4/4	3	3	1/8		1/8	1	322												
14	12	95/2	95/2	0.5	5/8	5/8	Chord	4/4	3	3	1/8		1/8	1	323												
14	12	48	48	0.5	3/4	3/4	Chord	4/4	3	3	1/8		1/8	1	324												
14	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	3	3	1/8		1/8	1	325												
15	13	49	49	0.0	0	0	Tempo	4/4	1	1	0											𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0	
15	13	49	49	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	326	e-	las-										14
15	13	50	50	0.0	1/4	1/4	Tempo	4/4	1	1	0											𝅘𝅥=51	51.0	𝅘𝅥	51.0	0.0	
15	13	50	50	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	327												
15	13	51	51	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	328	-ben.	-sen.										
15	13	49	49	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	329												15
15	13	50	50	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	330												
15	13	51	51	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	331												
15	13	49	49	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	332												16
15	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	333												
15	13	51	51	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	334												
15	13	49	49	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	335												17
15	13	50	50	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	336												
15	13	51	51	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	337												
15	13	49	49	1.0	0	0	Chord	4/4	2	3	1/4		1/4	1	338												18
15	13	50	50	1.0	1/4	1/4	Chord	4/4	2	3	1/4		1/4	1	339												
15	13	51	51	1.0	1/2	1/2	Chord	4/4	2	3	1/4		1/4	1	340												
15	13	49	49	1.0	0	0	Chord	4/4	3	3	1/4		1/4	1	341												19
15	13	50	50	1.0	1/4	1/4	Chord	4/4	3	3	1/4		1/4	1	342												
15	13	51	51	1.0	1/2	1/2	Chord	4/4	3	3	1/4		1/4	1	343												
